kern-tools-native,0.2+gitAUTOINC+b46b1c4f09,,
kernel-devsrc,1.0,,
kernelshark,2.6.1,2.6.1-0.1,trace-cmd
kexec-tools,2.0.14,1:2.0.16-1,
keymaps,1.0,,
kmod,24+gitAUTOINC+ef4257b59c,25-1,
kmod-native,24+gitAUTOINC+ef4257b59c,,
kmscube,git,0.0.0~git20170617-2,
l3afpad,0.8.18.1.11+gitAUTOINC+3cdccdc950,,
lame,(skipped),3.100-2,
ldconfig-native,2.12.1,,
less,487,487-0.1,
liba52,0.7.4,0.7.4-19,a52dec
libacpi,(skipped),0.2-4.1,
libaio,0.3.110,0.3.111-1,
libarchive,3.3.2,3.2.2-5,
libart-lgpl,2.3.21,2.3.21-4,
libassuan,2.4.3,2.5.1-2,
libatomic-ops,7.6.0+gitAUTOINC+73c60c5ef1,7.6.6-2,
libbsd,0.8.6,0.9.1-1,
libcap,2.25,1:2.25-1.2,libcap2
libcap-ng,0.7.8,0.7.9-1,
libcgroup,0.41,0.41-8.1,
libcheck,0.10.0,,
libcomps,0.1.8+gitAUTOINC+01a4759894,,
libconvert-asn1-perl,0.27,0.27-2,
libcroco,0.6.12,0.6.12-2,
libdaemon,0.14,0.14-7,
libdmx,1:1.1.3,1:1.1.4-1,
libdnf,0.9.3,,
libdrm,2.4.83,2.4.94-1,
libepoxy,1.4.3,1.5.3-0.1,
liberation-fonts,1:2.00.1,,
liberror-perl,0.17024,0.17026-1,
libevdev,1.5.7,1.5.9+dfsg-2,
libevent,2.1.8,2.1.8-stable-4,
libexif,0.6.21,0.6.21-5,
libfakekey,0.3+gitAUTOINC+7ad885912e,0.1-9,
libffi,3.2.1,3.2.1-8,
libfm,1.2.5,1.3.0.2-1,
libfm-extra,1.2.5,1.3.0.2-1,libfm
libfontenc,1:1.1.3,1:1.1.3-1,
libgcc,7.3.0,,
libgcc-initial,7.3.0,,
libgcrypt,1.8.0,1.8.3-1,libgcrypt20
libgfortran,(skipped),,
libglu,2:9.0.0,9.0.0-2.1,
libgpg-error,1.27,1.32-1,
libgudev,231,232-2,
libical,2.0.0,2.0.0-4,
libice,1:1.0.9,2:1.0.9-2,
libid3tag,0.15.1b,0.15.1b-13,
libidn,1.33,1.33-2.2,
libinput,1.8.1,1.12.1-1,
libjpeg-turbo,1:1.5.2,1:1.5.2-2,
libksba,1.3.5,1.3.5-2,
libmatchbox,1.12,1.9-osso8-4,
libmnl,1.0.4,1.0.4-2,
libmpc,1.0.3,2:0.1~r495-1,
libnewt,0.52.20,0.52.20-6,newt
libnewt-python,0.52.20,0.52.20-6,newt
libnfsidmap,0.25,0.25-5.1,
libnl,1:3.2.29,3.4.0-1,libnl3
libnotify,0.7.7,0.7.7-3,
libnsl2,1.0.5+gitAUTOINC+dfa2f31352,,
libnss-mdns,0.10,,
libogg,1.3.2,1.3.2-1,
libomxil,(skipped),,
libpam,1.3.0,1.1.8-3.8,pam
libpcap,1.8.1,1.8.1-6,
libpciaccess,0.13.5,0.14-1,
libpcre,8.41,2:8.39-11,pcre3
libpcre2,10.23,10.31-3,pcre2
libpng,1.6.31,1.6.34-2,libpng1.6
libproxy,0.4.14,0.4.15-3,
libpthread-stubs,0.4,0.3-4,
librepo,1.7.20+gitAUTOINC+e1137cbbda,,
librsvg,2.40.18,2.40.20-3,
libsamplerate0,0.1.9,0.1.9-2,libsamplerate
libsdl,1.2.15,1.2.15+dfsg2-1,libsdl1.2
libsdl2,2.0.5,2.0.8+dfsg1-4,
libsecret,0.18.5,0.18.6-3,
libsm,1:1.2.2,2:1.2.2-1,
libsndfile1,1.0.28,1.0.28-4,libsndfile
libsolv,0.6.28,0.6.35-2,
libsoup-2.4,2.58.2,2.62.2-2,libsoup2.4
libtasn1,4.12,4.13-3,4.13-3
libtheora,1.1.1,1.1.1+dfsg.1-14,
libtimedate-perl,2.30,2.3000-2,
libtirpc,1.0.2,0.2.5-1.3,
libtool,2.4.6,2.4.6-4,
libtool-cross,2.4.6,,
libtool-native,2.4.6,,
libunistring,0.9.7,0.9.10-1,
libunwind,1.2,1.2.1-8,
liburcu,0.10.0,0.10.1-2,
liburi-perl,1.72,1.74-1,
libusb-compat,1:0.1.5,2:1.0.22-2,
libusb1,1.0.21,libusb-1.0,
libuser,0.62,1:0.62~dfsg-0.1,
libva,1.8.3,2.3.0-2,
libva-utils,1.8.3,2.2.0+ds1-1,
libvorbis,1.3.5,1.3.6-1,
libwebp,0.6.0,0.6.1-2,
libx11,1:1.6.5,2:1.6.6-1,
libx11-diet,(skipped),,
libxau,1:1.0.8,1:1.0.8-1,
libxcalibrate,0.0+gitAUTOINC+209d83af61,,
libxcb,1.12,1.13-3,
libxcomposite,1:0.4.4,1:0.4.4-2,
libxcursor,1:1.1.14,1:1.1.15-1,
libxdamage,1:1.1.4,1:1.1.4-3,
libxdmcp,1:1.1.2,1:1.1.2-3,
libxext,1:1.3.3,2:1.3.3-1,
libxfixes,1:5.0.3,1:5.0.3-1,
libxfont,1:1.5.2,1:2.0.3-1,
libxfont2,2.0.1,1:2.0.3-1,libxfont
libxft,1:2.3.2,2.3.2-2,xft
libxi,1:1.7.9,2:1.7.9-1,
libxinerama,1:1.1.3,2:1.1.4-1,
libxkbcommon,0.7.1,0.8.2-1,
libxkbfile,1:1.0.9,1:1.0.9-2,
libxml-namespacesupport-perl,1.12,1.12-1,
libxml-parser-perl,2.44,2.44-2,
libxml-perl,0.08,0.08-3,
libxml-sax-base-perl,1.09,1.09-1,
libxml-sax-perl,0.99,1.00+dfsg-1,
libxml-simple-perl,2.24,2.25-1,
libxml2,2.9.5,2.9.4+dfsg1-7,
libxmu,1:1.1.2,2:1.1.2-2,
libxpm,1:3.5.12,1:3.5.12-1,
libxrandr,1:1.5.1,2:1.5.1-1,
libxrender,1:0.9.10,1:0.9.10-1,
libxres,1:1.0.7,2:1.2.0-2,
libxscrnsaver,1:1.2.2,,
libxshmfence,1.2,1.3-1,
libxslt,1.1.29,1.1.32-2,
libxt,1:1.1.5,1:1.1.5-1,
libxtst,1:1.2.3,2:1.2.3-1,
libxv,1.0.11,2:1.0.11-1,
libxvmc,1:1.0.10,2:1.0.10-1,
libxxf86dga,1:1.1.4,2:1.1.4-1,
libxxf86misc,1:1.0.3,,
libxxf86vm,1:1.1.4,1:1.1.4-1,
libyaml,0.1.7,0.2.1-1,
lighttpd,1.4.45,1.4.49-1.1,
linux-dummy,(skipped),,
linux-firmware,1:0.0+gitAUTOINC+8fc2d4e556,,
linux-libc-headers,4.12,,
linux-yocto,4.12.24+gitAUTOINC+46171de192_45824c60ca,,
linux-yocto-dev,(skipped),,
linux-yocto-rt,(skipped),,
linux-yocto-tiny,(skipped),,
llvm,5.0,1:6.0.1-9,llvm-toolchain-6.0
logrotate,3.12.3,3.14.0-4,
lrzsz,0.12.20,0.12.21-10,
lsb,4.1,9.20170808,
lsbinitscripts,9.72,,
lsbtest,1.0,,
lsof,4.89,4.89+dfsg-0.1,
ltp,20170516,,
lttng-modules,2.10.5,2.10.7-1,
lttng-tools,2.9.5,2.10.5-2,ltt-control
lttng-ust,2:2.10.1,2.10.2-1,ust
lz4,1:1.7.4,1.8.2-1,
lzip,1.19,1.20-3,
lzo,2.10,2.10-0.1,lzo2
